,vegetable,meat,fruit,dessert,main
1,amaranth,beef,apples,cheese,brown rice
2,apricots,beef chuck,avocados,chocolate,almond meal
3,mushroom,beef ribs,bananas,,almonds
4,,beef tenderloin,,,barley
5,,brisket,cherries,,buckwheat
6,,chicken,coconut,,bulgur
7,,chicken breasts,mangos,,chia seeds
8,,chicken legs,nectarines,,corn flour
9,,chicken thighs,peaches,,cornmeal
10,,chicken wings,pears,,flax seeds
11,,cornish hens,pineapples,,millet
12,,duck,plums,,oat flour
13,,fish,pomegranates,,oats
14,,goat,,,peanuts
15,,ground beef,,,quinoa
16,,ground chicken,,,spelt
17,,ground pork,,,tapioca flour
18,,ground turkey,,,white rice flour
19,,lamb,,,wild rice
20,,pork,,,
21,,pork ribs,,,
22,,pork shoulder,,,
23,,pork tenderloin,,,
24,,prime rib,,,
25,,sausage,,,
26,,seafood,,,
27,,shellfish,,,
28,,sirloin,,,
29,,steak,,,
30,,turkey,,,
31,,veal,,,
32,,venison,,,
33,,wild game,,,
